Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/03/24	Fri	11:27 PM	7.04	215	H
2017/03/25	Sat	05:01 AM	2.33	71	L
2017/03/25	Sat	11:00 AM	7.90	241	H
2017/03/25	Sat	05:31 PM	0.03	1	L
2017/03/25	Sat	11:59 PM	7.55	230	H
2017/03/26	Sun	05:44 AM	1.63	50	L
2017/03/26	Sun	11:47 AM	8.20	250	H
2017/03/26	Sun	06:09 PM	-0.06	-2	L
2017/03/27	Mon	12:31 AM	8.06	246	H
2017/03/27	Mon	06:27 AM	0.92	28	L
2017/03/27	Mon	12:34 PM	8.38	255	H
2017/03/27	Mon	06:46 PM	0.02	1	L
2017/03/28	Tue	01:05 AM	8.52	260	H
2017/03/28	Tue	07:10 AM	0.28	9	L
2017/03/28	Tue	01:22 PM	8.38	255	H
2017/03/28	Tue	07:24 PM	0.29	9	L
2017/03/29	Wed	01:40 AM	8.88	271	H
2017/03/29	Wed	07:55 AM	-0.23	-7	L
2017/03/29	Wed	02:11 PM	8.20	250	H
2017/03/29	Wed	08:04 PM	0.72	22	L
2017/03/30	Thu	02:17 AM	9.10	277	H
2017/03/30	Thu	08:43 AM	-0.56	-17	L
2017/03/30	Thu	03:04 PM	7.85	239	H
2017/03/30	Thu	08:45 PM	1.27	39	L
2017/03/31	Fri	02:58 AM	9.12	278	H
2017/03/31	Fri	09:34 AM	-0.67	-20	L
2017/03/31	Fri	04:00 PM	7.38	225	H
2017/03/31	Fri	09:31 PM	1.89	58	L
2017/04/01	Sat	03:42 AM	8.95	273	H
2017/04/01	Sat	10:30 AM	-0.58	-18	L
2017/04/01	Sat	05:04 PM	6.89	210	H
2017/04/01	Sat	10:23 PM	2.49	76	L
2017/04/02	Sun	04:34 AM	8.59	262	H
2017/04/02	Sun	11:32 AM	-0.37	-11	L
2017/04/02	Sun	06:16 PM	6.53	199	H
2017/04/02	Sun	11:27 PM	2.98	91	L
2017/04/03	Mon	05:34 AM	8.12	247	H
2017/04/03	Mon	12:41 PM	-0.15	-5	L
2017/04/03	Mon	07:35 PM	6.43	196	H
2017/04/04	Tue	12:44 AM	3.23	98	L
2017/04/04	Tue	06:46 AM	7.70	235	H
2017/04/04	Tue	01:53 PM	-0.01	-0	L
2017/04/04	Tue	08:49 PM	6.60	201	H
2017/04/05	Wed	02:09 AM	3.11	95	L
2017/04/05	Wed	08:04 AM	7.45	227	H
2017/04/05	Wed	03:00 PM	0.03	1	L
2017/04/05	Wed	09:50 PM	6.93	211	H
2017/04/06	Thu	03:24 AM	2.66	81	L
2017/04/06	Thu	09:18 AM	7.41	226	H
2017/04/06	Thu	03:58 PM	0.05	2	L
2017/04/06	Thu	10:39 PM	7.30	223	H
2017/04/07	Fri	04:25 AM	2.07	63	L
2017/04/07	Fri	10:22 AM	7.48	228	H
2017/04/07	Fri	04:48 PM	0.12	4	L
2017/04/07	Fri	11:20 PM	7.64	233	H
2017/04/08	Sat	05:16 AM	1.46	45	L
2017/04/08	Sat	11:17 AM	7.55	230	H
2017/04/08	Sat	05:31 PM	0.28	9	L
2017/04/08	Sat	11:56 PM	7.91	241	H
2017/04/09	Sun	06:00 AM	0.92	28	L
2017/04/09	Sun	12:06 PM	7.56	230	H
2017/04/09	Sun	06:10 PM	0.53	16	L
2017/04/10	Mon	12:28 AM	8.10	247	H
2017/04/10	Mon	06:40 AM	0.49	15	L
2017/04/10	Mon	12:50 PM	7.50	229	H
2017/04/10	Mon	06:45 PM	0.87	27	L
2017/04/11	Tue	12:59 AM	8.20	250	H
2017/04/11	Tue	07:17 AM	0.18	5	L
2017/04/11	Tue	01:32 PM	7.37	225	H
2017/04/11	Tue	07:18 PM	1.26	38	L
2017/04/12	Wed	01:28 AM	8.20	250	H
2017/04/12	Wed	07:53 AM	0.00	0	L
2017/04/12	Wed	02:13 PM	7.16	218	H
2017/04/12	Wed	07:51 PM	1.70	52	L
2017/04/13	Thu	01:57 AM	8.12	247	H
2017/04/13	Thu	08:29 AM	-0.05	-2	L
2017/04/13	Thu	02:54 PM	6.90	210	H
2017/04/13	Thu	08:23 PM	2.15	66	L
2017/04/14	Fri	02:26 AM	7.95	242	H
2017/04/14	Fri	09:06 AM	0.01	0	L
2017/04/14	Fri	03:37 PM	6.59	201	H
2017/04/14	Fri	08:57 PM	2.60	79	L
2017/04/15	Sat	02:58 AM	7.70	235	H
2017/04/15	Sat	09:46 AM	0.17	5	L
2017/04/15	Sat	04:24 PM	6.26	191	H
2017/04/15	Sat	09:34 PM	3.01	92	L
