Date,Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/03/25	Sat	06:53 PM	0.16	5	L
2017/03/26	Sun	01:18 AM	6.79	207	H
2017/03/26	Sun	07:08 AM	1.35	41	L
2017/03/26	Sun	01:11 PM	7.34	224	H
2017/03/26	Sun	07:32 PM	0.04	1	L
2017/03/27	Mon	01:52 AM	7.24	221	H
2017/03/27	Mon	07:51 AM	0.73	22	L
2017/03/27	Mon	01:57 PM	7.52	229	H
2017/03/27	Mon	08:10 PM	0.07	2	L
2017/03/28	Tue	02:27 AM	7.64	233	H
2017/03/28	Tue	08:34 AM	0.18	5	L
2017/03/28	Tue	02:44 PM	7.55	230	H
2017/03/28	Tue	08:48 PM	0.26	8	L
2017/03/29	Wed	03:02 AM	7.96	243	H
2017/03/29	Wed	09:18 AM	-0.25	-8	L
2017/03/29	Wed	03:33 PM	7.42	226	H
2017/03/29	Wed	09:28 PM	0.59	18	L
2017/03/30	Thu	03:40 AM	8.13	248	H
2017/03/30	Thu	10:05 AM	-0.50	-15	L
2017/03/30	Thu	04:23 PM	7.13	217	H
2017/03/30	Thu	10:09 PM	1.04	32	L
2017/03/31	Fri	04:20 AM	8.14	248	H
2017/03/31	Fri	10:54 AM	-0.56	-17	L
2017/03/31	Fri	05:18 PM	6.73	205	H
2017/03/31	Fri	10:54 PM	1.57	48	L
2017/04/01	Sat	05:05 AM	7.97	243	H
2017/04/01	Sat	11:48 AM	-0.43	-13	L
2017/04/01	Sat	06:19 PM	6.30	192	H
2017/04/01	Sat	11:46 PM	2.10	64	L
2017/04/02	Sun	05:56 AM	7.65	233	H
2017/04/02	Sun	12:49 PM	-0.20	-6	L
2017/04/02	Sun	07:28 PM	5.95	181	H
2017/04/03	Mon	12:48 AM	2.56	78	L
2017/04/03	Mon	06:56 AM	7.23	220	H
2017/04/03	Mon	01:56 PM	0.06	2	L
2017/04/03	Mon	08:44 PM	5.80	177	H
2017/04/04	Tue	02:04 AM	2.81	86	L
2017/04/04	Tue	08:07 AM	6.85	209	H
2017/04/04	Tue	03:08 PM	0.23	7	L
2017/04/04	Tue	09:59 PM	5.91	180	H
2017/04/05	Wed	03:28 AM	2.74	84	L
2017/04/05	Wed	09:24 AM	6.63	202	H
2017/04/05	Wed	04:17 PM	0.28	9	L
2017/04/05	Wed	11:04 PM	6.20	189	H
2017/04/06	Thu	04:44 AM	2.37	72	L
2017/04/06	Thu	10:38 AM	6.60	201	H
2017/04/06	Thu	05:18 PM	0.28	9	L
2017/04/06	Thu	11:56 PM	6.54	199	H
2017/04/07	Fri	05:46 AM	1.84	56	L
2017/04/07	Fri	11:43 AM	6.69	204	H
2017/04/07	Fri	06:09 PM	0.30	9	L
2017/04/08	Sat	12:39 AM	6.86	209	H
2017/04/08	Sat	06:37 AM	1.29	39	L
2017/04/08	Sat	12:39 PM	6.80	207	H
2017/04/08	Sat	06:53 PM	0.39	12	L
2017/04/09	Sun	01:16 AM	7.12	217	H
2017/04/09	Sun	07:21 AM	0.81	25	L
2017/04/09	Sun	01:27 PM	6.85	209	H
2017/04/09	Sun	07:33 PM	0.56	17	L
2017/04/10	Mon	01:50 AM	7.29	222	H
2017/04/10	Mon	08:01 AM	0.43	13	L
2017/04/10	Mon	02:11 PM	6.83	208	H
2017/04/10	Mon	08:09 PM	0.80	24	L
2017/04/11	Tue	02:21 AM	7.38	225	H
2017/04/11	Tue	08:39 AM	0.16	5	L
2017/04/11	Tue	02:52 PM	6.74	205	H
2017/04/11	Tue	08:43 PM	1.11	34	L
2017/04/12	Wed	02:51 AM	7.38	225	H
2017/04/12	Wed	09:15 AM	0.02	1	L
2017/04/12	Wed	03:32 PM	6.59	201	H
2017/04/12	Wed	09:16 PM	1.46	45	L
2017/04/13	Thu	03:21 AM	7.31	223	H
2017/04/13	Thu	09:50 AM	-0.01	-0	L
2017/04/13	Thu	04:11 PM	6.37	194	H
2017/04/13	Thu	09:49 PM	1.83	56	L
2017/04/14	Fri	03:51 AM	7.16	218	H
2017/04/14	Fri	10:27 AM	0.06	2	L
2017/04/14	Fri	04:52 PM	6.11	186	H
2017/04/14	Fri	10:23 PM	2.20	67	L
2017/04/15	Sat	04:22 AM	6.94	212	H
2017/04/15	Sat	11:05 AM	0.22	7	L
2017/04/15	Sat	05:37 PM	5.82	177	H
2017/04/15	Sat	10:59 PM	2.56	78	L
2017/04/16	Sun	04:56 AM	6.67	203	H
2017/04/16	Sun	11:47 AM	0.43	13	L
2017/04/16	Sun	06:27 PM	5.54	169	H
2017/04/16	Sun	11:41 PM	2.88	88	L
2017/04/17	Mon	05:36 AM	6.36	194	H
2017/04/17	Mon	12:36 PM	0.65	20	L
2017/04/17	Mon	07:24 PM	5.34	163	H
2017/04/18	Tue	12:33 AM	3.13	95	L
2017/04/18	Tue	06:25 AM	6.05	184	H
2017/04/18	Tue	01:32 PM	0.83	25	L
2017/04/18	Tue	08:28 PM	5.27	161	H
2017/04/19	Wed	01:43 AM	3.23	98	L
2017/04/19	Wed	07:28 AM	5.80	177	H
2017/04/19	Wed	02:34 PM	0.92	28	L
2017/04/19	Wed	09:32 PM	5.39	164	H
2017/04/20	Thu	03:01 AM	3.08	94	L
2017/04/20	Thu	08:42 AM	5.70	174	H
2017/04/20	Thu	03:36 PM	0.88	27	L
2017/04/20	Thu	10:27 PM	5.69	173	H
2017/04/21	Fri	04:11 AM	2.66	81	L
2017/04/21	Fri	09:55 AM	5.80	177	H
2017/04/21	Fri	04:33 PM	0.77	23	L
2017/04/21	Fri	11:13 PM	6.11	186	H
2017/04/22	Sat	05:09 AM	2.04	62	L
2017/04/22	Sat	11:01 AM	6.06	185	H
2017/04/22	Sat	05:24 PM	0.64	20	L
2017/04/22	Sat	11:54 PM	6.60	201	H
2017/04/23	Sun	05:59 AM	1.29	39	L
2017/04/23	Sun	11:59 AM	6.40	195	H
2017/04/23	Sun	06:10 PM	0.56	17	L
2017/04/24	Mon	12:32 AM	7.13	217	H
2017/04/24	Mon	06:46 AM	0.50	15	L
2017/04/24	Mon	12:53 PM	6.72	205	H
2017/04/24	Mon	06:53 PM	0.57	17	L
2017/04/25	Tue	01:09 AM	7.63	233	H
2017/04/25	Tue	07:31 AM	-0.25	-8	L
2017/04/25	Tue	01:45 PM	6.97	212	H
2017/04/25	Tue	07:36 PM	0.68	21	L
2017/04/26	Wed	01:47 AM	8.06	246	H
2017/04/26	Wed	08:16 AM	-0.87	-27	L
2017/04/26	Wed	02:36 PM	7.09	216	H
